{'Wed Dec 13 16:33:03 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:33:14 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:34:06 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:36:49 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:37:17 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:37:36 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:38:34 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 16:39:02 2023': ['39', '1038', '46', 'clear sky']}
{'Wed Dec 13 19:26:46 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:27:05 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:27:06 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:34:49 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:35:16 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:36:32 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:36:50 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:37:04 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:37:08 2023': ['31', '1038', '60', 'clear sky']}
{'Wed Dec 13 19:37:09 2023': ['31', '1038', '60', 'clear sky']}
{'Wed Dec 13 19:39:40 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:42:44 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:43:47 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:44:05 2023': ['31', '1038', '58', 'clear sky']}
{'Wed Dec 13 19:44:08 2023': ['31', '1038', '60', 'clear sky']}
{'Wed Dec 13 19:45:54 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:50:35 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:50:39 2023': ['31', '1038', '58', 'clear sky']}
{'Wed Dec 13 19:50:56 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:51:14 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:53:04 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:54:25 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:54:27 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:54:42 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:55:18 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:56:19 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:56:34 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:56:35 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:57:04 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 19:57:21 2023': ['31', '1038', '59', 'clear sky']}
{'Wed Dec 13 20:05:22 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:05:27 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:05:34 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:05:39 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:05:39 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:05:53 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:06:09 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:12:35 2023': ['30', '1038', '59', 'few clouds']}
{'Wed Dec 13 20:14:51 2023': ['30', '1038', '59', 'few clouds']}
